,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min
864,1,87.45295547986524,41.86119683504652,101.33733027684711,77.58672470278147,42.29024399298369,150.8372421089755,101.340634251826,101.38585972955666,108.53477990514993,158.19081847627356,16.88506194283585,12.629567743135723,17.362144195015897,18.885776949454726,3.1111896456942385,22.101525326052975,17.367396001551345,18.193354002900026,2.711993243413965,5.0856178084856865,17.0,1.0,20.0,14.0,20.0,7.0,20.0,14.0,100.0,129.0
865,2,86.82180847107131,34.659450371230044,104.13641638276032,72.76461311870509,43.77748188702263,172.09420979811654,104.13689245280212,102.60939196929348,104.34558221878393,162.20334141660592,18.740370855020966,13.317593914388848,20.439005816697314,18.82058897488025,2.174618207426225,22.14824769134336,20.440166120495498,20.78109022593902,3.067517770571394,5.612494336541724,24.0,1.0,36.0,11.0,24.0,31.0,36.0,29.0,97.0,141.0
866,1,79.66616674586204,40.4022067340534,92.24691633008632,69.97313296903461,43.09928674312358,146.3597152926269,92.25495466064781,92.3490981626673,109.95861546685674,154.6838075156411,16.771818981124483,15.69558242900316,17.219814581748363,17.515491136208393,2.972575544971125,28.20864192170193,17.245770497297638,18.10723606133668,2.6599882441485376,4.59273712281207,19.0,1.0,24.0,13.0,5.0,2.0,24.0,18.0,101.0,119.0
867,1,66.28595171211532,38.396121433281245,76.20649257977979,57.441500844541196,46.03389003802693,129.21752129418033,76.48851514303006,75.92153444553838,113.11660991229417,147.79973083072142,23.832923272411705,18.913329693877934,24.25285465695953,26.60688958734557,6.523407052953093,31.924375809253192,24.92293641226237,26.310496891122565,4.1670596647004965,7.187941134023904,10.0,1.0,15.0,4.0,17.0,38.0,15.0,9.0,98.0,130.0
868,1,84.92245489002194,35.64524755801221,97.80107121204851,78.45480715129997,39.497400467566905,163.83191217456917,97.81809458593031,98.32383228727325,110.21995176056491,159.90479472070413,19.099791874073535,14.870110349055148,20.329235644372766,20.030541115577734,2.3760585622657318,28.51695015308018,20.369047957751494,21.042950336073048,3.0967210928141173,6.456968687904877,17.0,1.0,18.0,13.0,10.0,5.0,18.0,14.0,101.0,117.0
869,2,67.72588379864827,40.4811587252823,76.10052600818236,61.66823270242323,42.76812180611129,121.66484586911238,76.14483208200333,76.75865066163138,115.33287626069625,147.04241783932022,21.07791764027646,16.754524589785067,22.292626838047898,21.483957759986247,3.6388070810664637,30.52075116189732,22.43082107355481,23.93212992476068,3.3463505648427105,6.202976755059123,10.0,1.0,12.0,5.0,15.0,26.0,12.0,8.0,101.0,127.0
870,2,57.83398184844846,33.396363242775195,67.57645348987027,48.04593033143847,47.66979843634846,132.01295655893585,67.57754093375868,66.5708616575531,113.14058433359274,146.01096205284668,17.332216244348434,13.819136304614199,18.53582072237031,17.314175990721363,3.5647216508229227,29.258370350802593,18.540599325785866,20.10834987467764,3.2253936354773023,4.994756226186479,8.0,1.0,10.0,3.0,20.0,19.0,10.0,6.0,98.0,126.0
871,2,85.32707294722948,43.71880819366853,97.8385736744319,76.66846295471169,41.75718164927826,143.53233738829246,97.95939015880755,98.49521643729666,110.22802209350226,155.7887245794416,14.710817789180362,15.779072669035216,14.132582919529677,17.088617905632603,3.5494172726700084,29.317420314258392,14.322090409521008,15.19388949941649,3.506789972132549,4.735931238398122,31.0,1.0,33.0,27.0,8.0,18.0,35.0,32.0,99.0,131.0
872,2,67.4639417295601,43.11384953674542,76.14585361384381,59.71500967738241,45.43618257926714,113.4302418800678,76.23786318815351,76.72090772701765,114.75341571515284,145.51083408729113,17.836883449039913,15.4575742394856,18.245275824640427,18.78462789446314,4.162717965293801,24.518037158952183,18.591163104089965,19.822215982782613,2.7590679029697402,4.187889385025956,15.0,1.0,19.0,7.0,3.0,1.0,19.0,12.0,102.0,124.0
873,2,70.0131648167512,33.41406498626365,82.89178481662131,58.72219443921258,44.84321073448896,153.41931272772146,82.89551928609933,81.94738619610186,109.31544901312584,153.53554890206598,18.05036333911387,11.659988306491448,20.40097793615626,16.887431259464744,2.247978166793573,19.484190345762002,20.410811314915218,20.920929936612442,3.5623925547827247,5.634689008905926,11.0,2.0,13.0,7.0,17.0,46.0,13.0,8.0,98.0,130.0
